timestamp,index,target_posx,target_posy,current_posx,current_posy,Vx,Vy
1.76543e+09,72,-0.0753824,0.851737,-0.0999997,0.45,-0.0673484,-0.99773
1.76543e+09,73,-0.0715854,0.744606,-0.0999997,0.4,-0.0880404,-0.996117
1.76543e+09,74,-0.0745532,0.649114,-0.0999997,0.35,-0.0893781,-0.995998
1.76543e+09,75,-0.0761259,0.548026,-0.0999997,0.3,-0.0908412,-0.892408
1.76543e+09,76,-0.0800924,0.442937,-0.0999997,0.25,-0.0742603,-0.694299
1.76543e+09,77,-0.0940355,0.335439,-0.0999997,0.2,-0.0271507,-0.487296
1.76543e+09,82,-0.101968,0.262937,-0.0999997,0.15,-0.00221157,-0.0797834
1.76543e+09,82,-0.103974,0.207807,-0.0999997,0.1,-0.000532414,-0.0763071
1.76543e+09,82,-0.10226,0.165082,-0.0999997,0.0500001,-0.00191805,-0.0812452
1.76543e+09,82,-0.100789,0.157391,-0.0999997,8.86619e-08,-0.0030992,-0.110009
1.76543e+09,82,-0.100336,0.164942,-0.0999997,-0.0499999,-0.00335246,-0.149148
1.76543e+09,82,-0.0989421,0.166511,-0.0999997,-0.0499999,-0.00435954,-0.150209
1.76543e+09,82,-0.100321,0.16095,-0.0999997,-0.0499999,-0.00332852,-0.146434
1.76543e+09,82,-0.0953015,0.158997,-0.0999997,-0.0499999,-0.00691169,-0.145085
1.76543e+09,82,-0.101212,0.158797,-0.0999997,-0.0499999,-0.00275857,-0.144971
1.76543e+09,82,-0.0926893,0.158626,-0.0999997,-0.0499999,-0.00779294,-0.144875
1.76543e+09,82,-0.100331,0.134135,-0.0999997,-0.0499999,-0.0032487,-0.1282
1.76543e+09,82,-0.0994298,0.125994,-0.0999997,-0.0499999,-0.00351463,-0.122673
1.76543e+09,82,-0.0979347,0.11471,-0.0999997,-0.0499999,-0.00461375,-0.114995
1.76543e+09,82,-0.0942964,0.0989653,-0.0999997,-0.0499999,-0.0070669,-0.104284
1.76543e+09,82,-0.0998396,0.0864886,-0.0999997,-0.0499999,-0.00329387,-0.095806
1.76543e+09,82,-0.10365,0.0765324,-0.0999997,-0.0499999,-0.000598604,-0.0890413
1.76543e+09,82,-0.100741,0.0679481,-0.0999997,-0.0499999,-0.00260097,-0.0832007
1.76543e+09,82,-0.104197,0.0700985,-0.0999997,-0.0499999,-7.50719e-05,-0.0846669
1.76543e+09,82,-0.101552,0.0734928,-0.0999997,-0.0499999,-0.0018143,-0.0869765
1.76543e+09,82,-0.100427,0.0705121,-0.0999997,-0.0499999,-0.0027129,-0.084946
1.76543e+09,82,-0.0984485,0.0759398,-0.0999997,-0.0499999,-0.00391808,-0.0886427
1.76543e+09,82,-0.097578,0.0634106,-0.0999997,-0.0499999,-0.00465234,-0.0801166
1.76543e+09,82,-0.101121,0.0461106,-0.0999997,-0.0499999,-0.00224649,-0.0683534
1.76543e+09,82,-0.0944819,0.0488856,-0.0999997,-0.0499999,-0.00687216,-0.0702292
1.76543e+09,82,-0.0954344,0.0403518,-0.0999997,-0.0499999,-0.00617961,-0.064432
1.76543e+09,82,-0.0960548,0.040206,-0.0999997,-0.0499999,-0.00581783,-0.0643279
1.76543e+09,82,-0.10533,0.0327714,-0.0999997,-0.0499999,0.00060658,-0.059285
1.76543e+09,82,-0.101728,0.0290385,-0.0999997,-0.0499999,-0.00186148,-0.0567436
1.76543e+09,82,-0.09769,0.0235189,-0.0999997,-0.0499999,-0.00463201,-0.052985
1.76543e+09,82,-0.0954741,0.0263195,-0.0999997,-0.0499999,-0.00613191,-0.054891
1.76543e+09,82,-0.102285,0.0258202,-0.0999997,-0.0499999,-0.00147919,-0.0545564
1.76543e+09,82,-0.103029,0.0221773,-0.0999997,-0.0499999,-0.000957425,-0.0520796
1.76543e+09,82,-0.0997118,0.0168999,-0.0999997,-0.0499999,-0.00314921,-0.0484928
1.76543e+09,82,-0.103007,0.0153027,-0.0999997,-0.0499999,-0.000891678,-0.0474061
1.76543e+09,82,-0.100416,0.0143219,-0.0999997,-0.0499999,-0.00266495,-0.0467388
1.76543e+09,82,-0.100727,0.0168773,-0.0999997,-0.0499999,-0.00245974,-0.048476
1.76543e+09,82,-0.108347,0.0161912,-0.0999997,-0.0499999,0.0028121,-0.0480082
1.76543e+09,82,-0.109351,0.0125707,-0.0999997,-0.0499999,0.00351138,-0.0455488
1.76543e+09,82,-0.103056,0.0146924,-0.0999997,-0.0499999,-0.000726447,-0.046991
1.76543e+09,82,-0.100808,0.013923,-0.0999997,-0.0499999,-0.00225144,-0.0464682
1.76543e+09,82,-0.101419,0.0136664,-0.0999997,-0.0499999,-0.00181025,-0.0462943
1.76543e+09,82,-0.0995773,0.0183375,-0.0999997,-0.0499999,-0.00304953,-0.0494723
1.76543e+09,82,-0.0968263,0.0216866,-0.0999997,-0.0499999,-0.00495735,-0.0517495
1.76543e+09,82,-0.10249,0.0151108,-0.0999997,-0.0499999,-0.00115893,-0.0472743
1.76543e+09,82,-0.0977012,0.0138411,-0.0999997,-0.0499999,-0.00444219,-0.0464068
1.76543e+09,82,-0.0986631,0.0163007,-0.0999997,-0.0499999,-0.00380358,-0.0480797
1.76543e+09,82,-0.101593,0.012419,-0.0999997,-0.0499999,-0.00173701,-0.045445
1.76543e+09,82,-0.106611,0.00652525,-0.0999997,-0.0499999,0.00172962,-0.0414363
1.76543e+09,82,-0.106412,0.00452915,-0.0999997,-0.0499999,0.0015993,-0.0400804
1.76543e+09,82,-0.103211,-0.00114074,-0.0999997,-0.0499999,-0.000528746,-0.0362244
1.76543e+09,82,-0.102993,-0.00392446,-0.0999997,-0.0499999,-0.000668492,-0.0343314
1.76543e+09,82,-0.101062,-0.0128098,-0.0999997,-0.0499999,-0.00199564,-0.0282882
1.76543e+09,82,-0.0997337,-0.0081881,-0.0999997,-0.0499999,-0.0029156,-0.0314292
1.76543e+09,82,-0.100138,-0.00776976,-0.0999997,-0.0499999,-0.00259952,-0.0317173
1.76543e+09,82,-0.101733,-0.00667015,-0.0999997,-0.0499999,-0.00150685,-0.0324646
1.76543e+09,82,-0.0994001,-0.00319585,-0.0999997,-0.0499999,-0.00312887,-0.0348246
1.76543e+09,82,-0.101682,-0.0118976,-0.0999997,-0.0499999,-0.00155935,-0.0289087
1.76543e+09,82,-0.0995487,-0.00943178,-0.0999997,-0.0499999,-0.00302132,-0.0305838
1.76543e+09,82,-0.10464,-0.0118123,-0.0999997,-0.0499999,0.000483546,-0.0289677
1.76543e+09,82,-0.0995754,-0.0182089,-0.0999997,-0.0499999,-0.00296279,-0.0246167
1.76543e+09,82,-0.0956391,-0.0181049,-0.0999997,-0.0499999,-0.00567249,-0.0246847
1.76543e+09,82,-0.0993104,-0.0201012,-0.0999997,-0.0499999,-0.00317684,-0.0233293
1.76543e+09,82,-0.0979834,-0.0145698,-0.0999997,-0.0499999,-0.00409611,-0.0270896
1.76543e+09,82,-0.103585,-0.0174444,-0.0999997,-0.0499999,-0.000180812,-0.0251383
1.76543e+09,82,-0.100782,-0.0240969,-0.0999997,-0.0499999,-0.00211733,-0.0206172
1.76543e+09,82,-0.102888,-0.0219564,-0.0999997,-0.0499999,-0.000645905,-0.0220712
1.76543e+09,82,-0.10627,-0.0235956,-0.0999997,-0.0499999,0.00168836,-0.020951
1.76543e+09,82,-0.100975,-0.0227298,-0.0999997,-0.0499999,-0.00190929,-0.0215479
1.76543e+09,82,-0.102837,-0.0246202,-0.0999997,-0.0499999,-0.000622696,-0.0202598
1.76543e+09,82,-0.103594,-0.0253091,-0.0999997,-0.0499999,-9.82893e-05,-0.01979
1.76543e+09,82,-0.102866,-0.0264941,-0.0999997,-0.0499999,-0.000570941,-0.0189853
1.76543e+09,82,-0.0988447,-0.026375,-0.0999997,-0.0499999,-0.00330743,-0.0190734
1.76543e+09,82,-0.099202,-0.0216734,-0.0999997,-0.0499999,-0.00304247,-0.0222725
